"Pound, Ezra","Abbott, Beatrice",9
"Pound, Ezra","Le Cardonnel, Georges",2
"Pound, Ezra","Lee, Cuthbert",2
"Pound, Ezra","Leese, A. S.",2
"Pound, Ezra",The Left Review,2
"Pound, Ezra","Léger, Fernand",6
"Pound, Ezra","Leigh, W. Colston",2
"Pound, Ezra","Leippert, James G.",2
"Pound, Ezra","Lekakis, Michael",10
"Pound, Ezra","Lemke, William",2
"Pound, Ezra","Lenberg, Lore",7
"Pound, Ezra","Leona, Margaret",2
"Pound, Ezra","Leslie, Shane",2
"Pound, Ezra","Levi, Giorgio",2
"Pound, Ezra","LeWinter, Oswald",1766
"Pound, Ezra","Lewis, Joanna",2
"Pound, Ezra","Lewis, Joseph",2
"Pound, Ezra","Lewis, Norman",2
"Pound, Ezra","Lewis, Wyndham",47
"Pound, Ezra","Lewisohn, Ludwig",2
"Pound, Ezra","Leyden, Frank",2
"Pound, Ezra","Libero, Libero de",2
"Pound, Ezra",Libro e moschetto,4
"Pound, Ezra","Lienhard, John H.",2
"Pound, Ezra",Life,6
"Pound, Ezra","Lilienfeld, [?]",2
"Pound, Ezra","Limpus, Lowell M.",2
"Pound, Ezra","Linati, Carlo",27
"Pound, Ezra","Lind, Levi Robert",5
"Pound, Ezra","Lindsay, Elizabeth",2
"Pound, Ezra","Lindsay, Vachel",2
"Pound, Ezra","Listen, A Review of Poetry and Eroticism",2
"Pound, Ezra",The Listener,2
"Pound, Ezra",The Literary Digest,2
"Pound, Ezra",The Little Magazine,2
"Pound, Ezra",The Little Man,2
"Pound, Ezra",The Little Review,2
"Pound, Ezra","Littlefield, Lester",22
"Pound, Ezra","Liuzzi, Fernando",2
"Pound, Ezra","Liveright, Horace, Inc.",20
"Pound, Ezra",The Living Age,2
"Pound, Ezra",The Living Theatre,2
"Pound, Ezra","Logue, Christopher",7
"Pound, Ezra","Long, Breckinridge",2
"Pound, Ezra","Long, Huey",2
"Pound, Ezra","Longanesi, Leo",2
"Pound, Ezra","Longmans, Green & Co.",2
"Pound, Ezra","Loomis, Charles Battell",2
"Pound, Ezra","Lorenzatos, Zesimos",2
"Pound, Ezra","Lorimer, George Horace",2
"Pound, Ezra","Lovibond, Pamela",7
"Pound, Ezra","Lowe, Elias Avery",4
"Pound, Ezra","Lowell, Robert",29
"Pound, Ezra","Lowenfels, Walter (PLUS 1 FLDR XEROXES)",2
"Pound, Ezra","Lowry, Robert James",22
"Pound, Ezra","Lucas, John",2
"Pound, Ezra","Luchini, Alberto",17
"Pound, Ezra","Luciani, Sebastiano Arturo",4
"Pound, Ezra","Luciani, Virgilio",2
"Pound, Ezra","Lust, Geraldine",2
"Pound, Ezra",Luzac & Co.,2
"Pound, Ezra","Luzzatto, Patti",4
"Pound, Ezra","Lyden, Nora",2
"Pound, Ezra","Lyle, D. Joseph",2
"Pound, Ezra","Lyman, Betty",4
"Pound, Ezra","Lynes, Russell",2
"Pound, Ezra","Lyon, Fred M.",22
"Pound, Ezra","Maas, Maria Menken",2
"Pound, Ezra","Maas, Willard",10
"Pound, Ezra","McAlmon, Robert",31
"Pound, Ezra","McCaskey, Michael",3
"Pound, Ezra",McClure's Magazine,2
"Pound, Ezra","McCormack, Nancy Cox",35
"Pound, Ezra","McCormick, Bill",2
"Pound, Ezra","McDaniel, Walton B.",10
"Pound, Ezra","MacDiarmid, Hugh",2
"Pound, Ezra","MacDonald, Edward",2
"Pound, Ezra","Macdonald, Hugh",2
"Pound, Ezra","McGarva, H.",2
"Pound, Ezra","MacGregor, Robert",17
"Pound, Ezra","MacIntyre, Edward",10
"Pound, Ezra","MacKenzie, Donal",2
"Pound, Ezra","Mackie & Sons, Ltd.",2
"Pound, Ezra","MacKintosh, George Lewis",2
"Pound, Ezra","McLean, Alan",6
"Pound, Ezra","MacLeish, Archibald",35
"Pound, Ezra","MacLeod, Clarence John",2
"Pound, Ezra","Macleod, Joseph Gordon",10
"Pound, Ezra","Macleod, Norman",5
"Pound, Ezra","MacLow, Jackson",2
"Pound, Ezra","McLuhan, Marshall",4
"Pound, Ezra","Macmillan & Co., publishers (London)",36
"Pound, Ezra","Macnab, J. A.",4
"Pound, Ezra","McNaughton, William French",6
"Pound, Ezra","MacPherson, Douglass",2
"Pound, Ezra","MacShane, Frank",4
"Pound, Ezra","Madariaga, Salvadore",9
"Pound, Ezra","Magaret, Helene",9
"Pound, Ezra","Magnino, Leo",2
"Pound, Ezra","Mahr, [?]",2
"Pound, Ezra","Mairet, Philippe",12
"Pound, Ezra","Majolo, Renato",2
"Pound, Ezra","Major, Henry Dewsbury Alves",2
"Pound, Ezra","Malaparte, Curzio",4
"Pound, Ezra","Malye, Jean",2
"Pound, Ezra",Manchester Guardian,2
"Pound, Ezra","Mangan, John Sherry",12
"Pound, Ezra","Manners, Diana",2
"Pound, Ezra","Manni, Marcello",2
"Pound, Ezra","Manning, Frederic",12
"Pound, Ezra","Manning, Hugo",2
"Pound, Ezra","Mansfield, Margery",2
"Pound, Ezra","Manunta, [?] (Il Secolo-La Sera)",2
"Pound, Ezra","Manzini, Gianna",23
"Pound, Ezra","Mapel, Ida B.",27
"Pound, Ezra","Maraini, Fosco",6
"Pound, Ezra","Marcelletti, Mario",2
"Pound, Ezra","March, Richard",2
"Pound, Ezra","Marchi, Riccardo",6
"Pound, Ezra","Marconi, Alfonso",2
"Pound, Ezra","Marcoussis, Louis",2
"Pound, Ezra","Mardersteig, Giovanni",2
"Pound, Ezra",Il Mare Nostra,29
"Pound, Ezra",La Marina Repubblicana (Vicenza),2
"Pound, Ezra","Marinetti, Filippo Tommaso",13
"Pound, Ezra","Mark, Jeffrey",27
"Pound, Ezra","Marriot, Charles",2
"Pound, Ezra","Marsano, G. B.",10
"Pound, Ezra","Marshall, G. B.",2
"Pound, Ezra","Marston, Howard",5
"Pound, Ezra","Martell, Charles",8
"Pound, Ezra","Martin, Frank",2
"Pound, Ezra","Martin, John Jex",5
"Pound, Ezra","Martin, Joseph William",2
"Pound, Ezra","Martin, W. E. R.",6
"Pound, Ezra","Martin, Wallace",2
"Pound, Ezra","Martinelli, Sheri",11
"Pound, Ezra","Masefield, John",2
"Pound, Ezra","Masoliver, Juan Ramon",8
"Pound, Ezra","Masterman, Lucy Blanche Lyttelton",2
"Pound, Ezra","Masters, Edgar Lee",2
"Pound, Ezra","Mastrangelo, Aida",7
"Pound, Ezra","Mathers, E. Powys",10
"Pound, Ezra","Mathews, Elkin, Ltd. (London)",26
"Pound, Ezra",Le Matin (Paris),2
"Pound, Ezra","Matsumiya, Hajime",2
"Pound, Ezra","Matsuoka, Yosuke",2
"Pound, Ezra","Matz, Mary Jane",2
"Pound, Ezra","Maupin, Ralph",2
"Pound, Ezra","Maverick, Lewis",4
"Pound, Ezra","Mavrogordato, John",6
"Pound, Ezra","Maxon, Connie",2
"Pound, Ezra","Maxton, James",2
"Pound, Ezra","Mayerhofer, H.",2
"Pound, Ezra","Mayo, Robert Donald",8
"Pound, Ezra","Mayor, Alpheus Hyatt",3
"Pound, Ezra","Meacham, Harry M.",16
"Pound, Ezra",Meanjin Quarterly,2
"Pound, Ezra","Meiklejohn, Alexander",2
"Pound, Ezra","Mencken, H. L.",32
"Pound, Ezra","Mensdorf, Albert",2
"Pound, Ezra","Mercer, David",2
"Pound, Ezra","Merchant, W. Moelwyn",4
"Pound, Ezra",Mercure de France,35
"Pound, Ezra",Meridiano di Roma,5
"Pound, Ezra","Mesterton, Erik",4
"Pound, Ezra","Meynell, Vera",2
"Pound, Ezra","Mezzasoma, Fernando",3
"Pound, Ezra","Michelson, Max",2
"Pound, Ezra","Michigan, University of",2
"Pound, Ezra",Middlesex County Times,2
"Pound, Ezra","Miller, Fred R.",2
"Pound, Ezra","Miller, Henry",4
"Pound, Ezra","Miller, Vincent",6
"Pound, Ezra","Mills, Raymond",2
"Pound, Ezra","Miner, Earl Roy",4
"Pound, Ezra","Miner, Paul",2
"Pound, Ezra",Ministero degli Affari Esteri,2
"Pound, Ezra",Ministero della Cultura Popolare,6
"Pound, Ezra",Ministero dell'Educazione Nazionale,8
"Pound, Ezra",Ministero dell'Interno,2
"Pound, Ezra",Ministero delle Comunicazioni,9
"Pound, Ezra",Ministero per la Stampa e la Propaganda,4
"Pound, Ezra",Ministro della Cultura Popolare,2
"Pound, Ezra","Miro, Joan",2
"Pound, Ezra","Mitchell, C. Bradford",2
"Pound, Ezra",Mobile Press-Register,2
"Pound, Ezra","Mockel, Albert",19
"Pound, Ezra",Modern Age; a conservative review,2
"Pound, Ezra","Moe, Henry Allen",2
"Pound, Ezra","Moley, Raymond",3
"Pound, Ezra","Momigliano, Attilio",2
"Pound, Ezra","Mondadori, Arnoldo",25
"Pound, Ezra","Money, Leo George Chiozza, Sir",4
"Pound, Ezra","Monotti, Carlo",2
"Pound, Ezra","Monotti, Francesco",37
"Pound, Ezra","Monro, Alida Klemantaski",2
"Pound, Ezra","Monro, Harold",22
"Pound, Ezra","Monroe, Harriet",19
"Pound, Ezra","Montale, Eugenio",2
"Pound, Ezra","Montanari, Filippo",24
"Pound, Ezra","Montesi, E.",2
"Pound, Ezra","Monti, Luigi",2
"Pound, Ezra","Monti, Rolando",27
"Pound, Ezra","Moore, Arthur V.",23
"Pound, Ezra","Moore, Frank Leslie",8
"Pound, Ezra","Moore, Harry Thornton",2
"Pound, Ezra","Moore, John Gae",14
"Pound, Ezra","Moore, Marianne",49
"Pound, Ezra","Moore, Mary",2
"Pound, Ezra","Moore, Merrill",2
"Pound, Ezra",Morada; a tri-lingual quarterly,2
"Pound, Ezra","Morand, Paul",2
"Pound, Ezra","Morera, Antonio M.",2
"Pound, Ezra","Moretti, Marino",2
"Pound, Ezra","Morgan, Frederick",2
"Pound, Ezra","Morgenthau, Henry",3
"Pound, Ezra","Morri, Yasotaro",2
"Pound, Ezra","Morley, Frank",34
"Pound, Ezra",The Morning Post,8
"Pound, Ezra","Morris, William",6
"Pound, Ezra",Mosaic; a critical quarterly,2
"Pound, Ezra","Moses, George Higgens",2
"Pound, Ezra","Mosher, Thomas Bird",2
"Pound, Ezra","Mosley, Oswald, Sir",28
"Pound, Ezra","Moule, Arthur Christopher",2
"Pound, Ezra",Much Ado. A fortnightly.,2
"Pound, Ezra","Mudrick, Marvin",7
"Pound, Ezra","Muir, Roy",3
"Pound, Ezra","Mullins, Eustace Clarence",9
"Pound, Ezra","Münch, Gerhart",27
"Pound, Ezra","Munro, Ian",6
"Pound, Ezra","Munson, Gorham",17
"Pound, Ezra","Munson, J. John",2
"Pound, Ezra","Murphy, Gwendolen",3
"Pound, Ezra",Music and Letters,2
"Pound, Ezra",Musical Times (London),2
"Pound, Ezra","Mussolini, Benito",11
"Pound, Ezra","Nader, Michael E.",4
"Pound, Ezra","Nagy, N. Christophe de",4
"Pound, Ezra","Nalbud, James",2
"Pound, Ezra","Nani, Umberto",2
"Pound, Ezra","[Nardi?], Marcia",2
"Pound, Ezra","Nash, Ogden",2
"Pound, Ezra","Nassano, G. B.",17
"Pound, Ezra",The Nation (New York),2
"Pound, Ezra",National Citizen (London),3
"Pound, Ezra",National Institute of Arts and Letters,23
"Pound, Ezra",National Review,2
"Pound, Ezra",National Workers Party of Great Britain,2
"Pound, Ezra","Neagoe, Peter",2
"Pound, Ezra","Neame, Alan",10
"Pound, Ezra","Nehru, Jawaharlal",2
"Pound, Ezra","Nelson, John Herbert",2
"Pound, Ezra",Neo-Christian,2
"Pound, Ezra","Neumayer, F. B.",15
"Pound, Ezra","Nevinson, Christopher Richard Wynne",2
"Pound, Ezra","The New Act (Millbrook, N. Y.)",3
"Pound, Ezra",New Age,10
"Pound, Ezra",New Democracy,2
"Pound, Ezra",New Directions,2
"Pound, Ezra",The New English Weekly,11
"Pound, Ezra",The New Freeman,2
"Pound, Ezra",New Masses,2
"Pound, Ezra",New Outlook,27
"Pound, Ezra","New Quarterly (Rock Island, Ill.)",2
"Pound, Ezra",The New Republic,22
"Pound, Ezra",New Review (Paris),2
"Pound, Ezra",New Statesman,2
"Pound, Ezra","New Times (Melbourne, Aus.)",2
"Pound, Ezra",New Verse (London),2
"Pound, Ezra",New York Daily News,4
"Pound, Ezra",New York Herald-Tribune,9
"Pound, Ezra",New York Herald-Tribune (Paris),8
"Pound, Ezra",New York Post,2
"Pound, Ezra",New York Sun,9
"Pound, Ezra",New York Times,25
"Pound, Ezra",New Yorker,2
"Pound, Ezra","Newbolt, Henry John, Sir",2
"Pound, Ezra","Newman, Ernest",2
"Pound, Ezra","Newsome, A.",3
"Pound, Ezra","Nichols, Robert",2
"Pound, Ezra","Nichols, Roy Franklin",2
"Pound, Ezra","Nicoletti, Gioacchino",16
"Pound, Ezra","Nicolson, Harold George, Sir",2
"Pound, Ezra","Niebuhr, Reinhold",2
"Pound, Ezra","Niedecker, Lorine",2
"Pound, Ezra","Niemojowski, Jerzy",9
"Pound, Ezra",Nineteenth Century and After,2
"Pound, Ezra","Nirje, Bengt",2
"Pound, Ezra","Nixon, David",23
"Pound, Ezra","Noguchi, Yoné",7
"Pound, Ezra",Noigandres,7
"Pound, Ezra",Nonesuch Press,2
"Pound, Ezra","Norman, Charles",4
"Pound, Ezra","Norman, Montagu Collet Norman, Baron",5
"Pound, Ezra","Norris, K[athleen?]",2
"Pound, Ezra","Norse, Harold",2
"Pound, Ezra",The North American Review,3
"Pound, Ezra","Nott, Stanley",12
"Pound, Ezra","Noyes, Pierrepont B.",2
"Pound, Ezra","Nye, Gerald P.",3
"Pound, Ezra","Nye, H. E. B.",2
"Pound, Ezra","Nyland, W. A.",2
"Pound, Ezra","Obermer, G.",2
"Pound, Ezra",Objectivist Press,2
"Pound, Ezra","O'Brien, Edward Joseph Harrington",3
"Pound, Ezra",The Observer (London),2
"Pound, Ezra","The Observer (Memphis, Tenn.)",2
"Pound, Ezra","Odle, John Elsden",2
"Pound, Ezra","Odlin, Reno",7
"Pound, Ezra","O'Donnell, George Marion",3
"Pound, Ezra","O'Donovan, Denis L.",8
"Pound, Ezra","Ogden, Charles Kay",4
"Pound, Ezra",Ogelthorpe University Press,2
"Pound, Ezra","O'Grady, Desmond",11
"Pound, Ezra","Okada, Tomoji",6
"Pound, Ezra","Olivero, Luigi",2
"Pound, Ezra","Olson, Elder",2
"Pound, Ezra","Olson, Lawrence",2
"Pound, Ezra","Omega Workshop, Ltd.",2
"Pound, Ezra",Oneida Ltd.,2
"Pound, Ezra",The Open Road,2
"Pound, Ezra","Oppen, George",30
"Pound, Ezra","Orage, A. R.",24
"Pound, Ezra","Ordeman, John Talbot",2
"Pound, Ezra","Orlando, F[rancesco]",5
"Pound, Ezra","Orthological Institute (Cambridge, Eng.)",2
"Pound, Ezra","Osborn, Peter S. H.",2
"Pound, Ezra","Osler, Mirabel",4
"Pound, Ezra","Ottone, Marco",7
"Pound, Ezra",Outlook,2
"Pound, Ezra",The Outrider; a Journal for the Civilized Minority,4
"Pound, Ezra","Overholser, Willis A.",3
"Pound, Ezra","Overholser, Winfred",6
"Pound, Ezra","Owen, Peter",12
"Pound, Ezra","Owen, Robert Alexander",2
"Pound, Ezra","Oxford Times (Oxford, England)",2
"Pound, Ezra",Oxford University Press,28
"Pound, Ezra","Pach, Walter",2
"Pound, Ezra","Packard, Reynolds",3
"Pound, Ezra",Pagany; A Native Quarterly,2
"Pound, Ezra","Page, Chester",4
"Pound, Ezra","Page, David",2
"Pound, Ezra","Page, W.S.",2
"Pound, Ezra","Paige, Douglas Duncan",15
"Pound, Ezra","Pais, Andrea",2
"Pound, Ezra","Palmer, David",22
"Pound, Ezra","Palotai, Vilmos",4
"Pound, Ezra","Palwick, Patti",2
"Pound, Ezra",Pantano,2
"Pound, Ezra",Paolillo,2
"Pound, Ezra","Pardo de Santayana, Jesus",2
"Pound, Ezra","Parker, Dereck",2
"Pound, Ezra","Paresce, Giuffrido",15
"Pound, Ezra","Parkes, Henry Banford",2
"Pound, Ezra","Parodi, Giorgio",2
"Pound, Ezra",Partito Nazionale Fascista,1903
"Pound, Ezra","Pasi, Annie",8
"Pound, Ezra","Pasquali, Giorgio",2
"Pound, Ezra","Patmore, Brigit",46
"Pound, Ezra","Patterson, Beulah",2
"Pound, Ezra","Patterson, Ernest Minor",21
"Pound, Ezra","Pattino, Robert",2
"Pound, Ezra","Pavolini, Alessandro",4
"Pound, Ezra","Payne, Miles",2
"Pound, Ezra","Pea, Enrico",18
"Pound, Ezra","Pearce, Donald",3
"Pound, Ezra","Pearn, Pollinger & Higham, Ltd.",2
"Pound, Ezra","Pearson, Norman Holmes ",36
"Pound, Ezra",Folder 1674 [19 l. ; 29 cm. and smaller] ,2
"Pound, Ezra",Folder 1675 [16 l. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1676 [30 l. ; 28 cm. and smaller] ,2
"Pound, Ezra","Folder 1677 [26 p., 5 postcards ; 33 cm. and smaller] ",2
"Pound, Ezra","Folder 1678 [25 p., 2 postcards ; 28 cm. and smaller] ",2
"Pound, Ezra",Folder 1679 [10 letters ; (16) p. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1680 [8 letters ; (13) p. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1681 [12 letters ; (29) p. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1682 [12 letters ; (15) p. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1683 [12 letters ; (16) p. ; 28 cm. and smaller] ,2
"Pound, Ezra",Folder 1684 [(21) p. ; 30 cm. and smaller],2
"Pound, Ezra","Pease, Frank",3
"Pound, Ezra","Peggram, Edwin",2
"Pound, Ezra","Pellegrini, Giampietro Domenico",2
"Pound, Ezra","Pellizzi, Camillo",29
"Pound, Ezra","Pennsylvania, University of",25
"Pound, Ezra","Pennsylvania, University of, Press",2
"Pound, Ezra","Percy of Newcastle, Eustace Percy, Baron",4
"Pound, Ezra","Perinello, Carlo",2
"Pound, Ezra","Perkins, Frances",2
"Pound, Ezra","Perles, Alfred",8
"Pound, Ezra","Perlet, Walter",2
"Pound, Ezra","Peroni, Carlo",21
"Pound, Ezra","Perry, Ronald W.",5
"Pound, Ezra",Perspective,2
"Pound, Ezra","Pettengill, Samuel Barrett",2
"Pound, Ezra",Pettijohn,2
"Pound, Ezra","Pettinato, Concetto (La Stampa)",5
"Pound, Ezra","Pfeiffer, Eric",2
"Pound, Ezra","Phelps, William Lyon",3
"Pound, Ezra","Phillips, William",2
"Pound, Ezra","Picabia, Francis",2
"Pound, Ezra","Picabia, Gabrielle",2
"Pound, Ezra","Picenardi, G. Sommi",3
"Pound, Ezra","Pickman, Edward Motley",2
"Pound, Ezra","Pieraccini, Rolando",4
"Pound, Ezra","Pietrantonio, Luigi",2
"Pound, Ezra","Pilkington, Walter",10
"Pound, Ezra","Pinchot, Amos",3
"Pound, Ezra","Pini, Giorgio",2
"Pound, Ezra","Pinker, James B.",13
"Pound, Ezra","Pisani, Pietro",30
"Pound, Ezra","Pistoni, Goffredo",2
"Pound, Ezra","Plain Dealer (Brighton, Eng.)",2
"Pound, Ezra","Plarr, Victor Gustave",2
"Pound, Ezra","Pleydell-Bouverie, Christopher",2
"Pound, Ezra","Plimpton, George",2
"Pound, Ezra","Podewils, Clemens Graf",2
"Pound, Ezra",Poetry Bookshop,2
"Pound, Ezra",Poetry (Chicago),11
"Pound, Ezra",Poetry Society,2
"Pound, Ezra","Polignac, Winaretta, princesse de",6
"Pound, Ezra","Politi, Mario E.",2
"Pound, Ezra","Pollard, Albert Frederick",2
"Pound, Ezra","Pollinger, Laurence",32
"Pound, Ezra","Pollini, Pier Amilcare",2
"Pound, Ezra",Pologne Litteraire (Warsaw),2
"Pound, Ezra","Polverilli, Gaetano",11
"Pound, Ezra","Pomeroy, Eugene C.",2
"Pound, Ezra","Ponder-Greene, Drew",5
"Pound, Ezra","Pope, Sen. James P.",2
"Pound, Ezra",Il Popolo di Alessandria,2
"Pound, Ezra",Il Popolo d'Italia,2
"Pound, Ezra","Por, Odon",12
"Pound, Ezra","Por, Odon",34
"Pound, Ezra","Porter, Katherine Anne",3
"Pound, Ezra","Porteus, Hugh Gordon",6
"Pound, Ezra","Portsmouth, Gerald Vernon Wallup, Earl of",2
"Pound, Ezra","Postgate, Raymond William",9
"Pound, Ezra","Pound, Homer",2
"Pound, Ezra","Pound, Homer Cuthbert",2
"Pound, Ezra","Pound, Isabel",2
"Pound, Ezra","Pound, Roscoe",2
"Pound, Ezra","Powell, G. F.",2
"Pound, Ezra","Pratt, Bernard",25
"Pound, Ezra","Pratt, Margaret Snively",2
"Pound, Ezra","Pratt, William Crouch",10
"Pound, Ezra","Press, Muriel A. C.",2
"Pound, Ezra","Preston, Raymond",2
"Pound, Ezra","Prezzolini, Giuseppe",2
"Pound, Ezra","Price, John Milburn",5
"Pound, Ezra","Prichard, Louise",2
"Pound, Ezra",Princeton University Library,2
"Pound, Ezra","Prins, Sonja",3
"Pound, Ezra","Proctor, Katharine Wright",2
"Pound, Ezra","Prodan, Mario",2
"Pound, Ezra",Programme (Oxford),2
"Pound, Ezra","Prokosch, Frederic",2
"Pound, Ezra",Prosperity (London),2
"Pound, Ezra","Prosser, Margaret E.",2
"Pound, Ezra","Puccini, Mario",2
"Pound, Ezra",Punjab Literary League,3
"Pound, Ezra","Pura, Eleonora della",2
"Pound, Ezra","Purdy, James",2
"Pound, Ezra","Purnell, Idella",2
"Pound, Ezra","Purpose, London",2
"Pound, Ezra","Putnam, Herbert",2
"Pound, Ezra","Putnam, Samuel",8
"Pound, Ezra",The Quarterly Review,3
"Pound, Ezra","Quasimodo, Salvatore",4
"Pound, Ezra","Quiano, [?]",4
"Pound, Ezra","Quiller-Couch, Arthur Thomas, Sir",2
"Pound, Ezra","Quinn, John",17
"Pound, Ezra","Quinn, Sr. Mary Bernetta",44
"Pound, Ezra","de Rachewiltz, Boris",2
"Pound, Ezra","de Rachewiltz, Mary",2
"Pound, Ezra","Rackham, Arthur[?]",2
"Pound, Ezra","Rader, Jim",2
"Pound, Ezra","Rago, Henry (Poetry)",5
"Pound, Ezra","Raine, Kathleen",2
"Pound, Ezra","Rainer, Dachine",2
"Pound, Ezra","Rakosi, Carl",5
"Pound, Ezra","Ramperti, Marco",24
"Pound, Ezra","Ramsey, Warren",2
"Pound, Ezra","Rand, James Henry",2
"Pound, Ezra",Random House (New York),2
