1,1,"""A"" general","1931-1961, undated"
1,2,A.D.,1951 November 8
1,3,"Abbott, C.D.",1940-1960
1,4,"Abek, Rudolph",1940-1941
,,Accompanied by writing,
1,5,"Abernethy, M. A. (Milton A.)","1931-1932, undated"
1,6,Academy of American Poets,1956-1958
,,Accompanied by writing by various authors,
1,7,Accent,1955
1,8,"Adams, Elaine",1956
1,9,"Adams, Léonie","1961, undated"
1,10,Adelphi College,1960
1,11,"Aiken, Conrad",1950-1953
,,Library of Congress,
1,12,Alicat Book Shop,1950
1,13,"Allen, Donald",1957-1960
,,Accompanied by poems for translation,
1,14,The American Academy of Arts and Letters,1950-1959
1,15,American Civil Liberties Union,1954
1,16,The American Scholar ,1956-1957
1,17,"Ammons, A. R.",1960
1,18,"Anderson, Lee","1941-1959, undated"
1,19,"Anderson, Margaret",1951-1953
1,20,"Andrews, Wayne",1931-1932
1,21,"Anduze, Eliza",1924 December 28
,,"Angleton, Jim",
,,"See: Furioso, Box 6, Folder 221",
1,22,"Angoff, Charles",1942-1958
1,23,"Antheil, George","1931-1932, undated"
,,Antioch College,
,,"See:Miller, Nolan, Box 15, Folder 458",
1,24,"Appleton-Century-Crofts, inc.",1957
,,The Archive ,
,,"See:Zabriskie, George, Box 26, Folder 833",
1,25,Arizona Quarterly ,1945-1946
1,26,"Armstrong, Louise","1941-1957, undated"
1,27,Art Digest ,1954-1955
1,28,"Asch, Nathan",1932
,,"Ashton, Dore",
,,"See:Emmerich, André, Box 6, Folder 194",
1,29,"Atkinson, Clinton E. (Clinton Edwin)",1959-1961
,,Regards plays of Williams,
1,30,The Atlantic Monthly ,1954
1,31,"Auden, W. H. (Wystan Hugh)","1939, undated"
1,32,The Audience Press,1958
1,33,Authors' Guild (U.S.),1941
1,34,"Avedon, Richard",1958
1,35-36,"""B"" general","1930-1961, undated"
1,37,"Bacon, Leonard",1953
1,38,"Baines, Wilfred","1939-1940, undated"
,,Accompanied by writing,
1,39,"Baird, Martha",1951 November 3
,,"Purchased on the Eugene O'Neill Fund, June 2003",
1,40,"Baird, Walter and Martha","1930-1958, undated"
1,41,"Ballantine Books, Inc.","1957, undated"
1,42,Bantam Books (Firm),1959-1960
,,"Baraka, Imamu Amiri",
,,"See:Jones, Leroi (Baraka, Imamu Amiri), Box 9, Folder 334",
1,43,Bard College,1950
1,44,"Barlow, Margaret",1942-1943
1,45,"Barnard, Mary",1939-1961
,,Accompanied by writing,
2,46,"Barnes, Djuna",1943
2,47,"Barrow, E.",undated
,,"Baumgartner, Alexander",
,,"See:Brown University, Box 3, Folder 93",
,,"Beacon Press, Inc.",
,,"See:Bledsoe, Thomas, Box 2, Folder 63",
2,48,"Beaudoin, Kenneth Lawrence",1951-1961
,,Accompanied by writing,
,,"Beck, Julian",
,,"See:Living Theatre (New York, N. Y.), Box 12, Folder 399",
2,49,"Becker, Francis G.",1954
2,50,"Bell, Aaron",1951
2,51,"Bell, Charles","1955-1960, undated"
,,Accompanied by writing,
2,52,The Beloit Poetry Journal ,1951-1956
,,Accompanied by writing,
2,53,"Benardete, M. J. (Mai?r Jose?)",1940
2,54,Bennington College,1959
2,55,"Bentley, Eric","1931-1959, undated"
2,56,"Berg, Steve",1957
,,"Berrien, Edith Heal",
,,"See:Heal, Edith, Box 8, Folder 272",
2,57,"Beston, Henry",1951-1954
2,58,"Beston, Henry and Elizabeth",1953 December
2,59,"Beum, Robert Lawrence",1949-1960
,,Accompanied by photograph of Beum,
2,60,"Bird, William",1925-1961
2,61,"Black Mountain College (Black Mountain, N.C.)","1950, undated"
,,"See also:Creeley, Robert, Box 4, Folders 145-146",
,,"See also:Olson, Charles, Box 17, Folder 545",
,,"See also:Oppenheimer, Joel, Box 17, Folder 548",
2,62,"Blackmur, R. P. (Richard P.)",1940 November
,,"Regards criticism, Yvor Winters, and T.S. Eliot",
2,63,"Bledsoe, Thomas",1958-1959
2,64,Bollingen Foundation,1957 April 2
2,65,"Bonter, Norman",1952
2,66,"Bostelmann, Carl John","1928-1951, undated"
2,67,"Boultenhouse, Charles","1955, undated"
,,Accompanied by writing,
2,68,"Boyd, Madeleine Elise Reynier",1940-1969
2,69,"Boyle, Kay",1930-1961
,,Accompanied by writing,
2,70,"Bracco, Edgar Jean",1960
2,71,"Bradley, Sculley","1939-1954, undated"
,,Accompanied by writing,
2,72,"Braithwaite, William Stanley",1958
2,73,Brandeis University,1952-1957
2,74,Bread Loaf Writers' Conference of Middlebury College,1941
2,75-76,"Breit, Harvey","1940-1954, undated"
,,Accompanied by writing,
,,"Second folder is gift of Farleigh Dickinson University Library, March 2000",
2,77,British Broadcasting Corporation,1959-1960
2,78,"Brittain, Robert","1942-1948, undated"
,,Accompanied by writing,
2,79,"Brooks, Cleanth",1955
2,80,"Brooks, Van Wyck",1961
3,81,"Brousseau, Jule",1941
3,82,"Brown, Bill","1952, undated"
3,83,"Brown, Bob","1930-1950, undated"
,,"Writing stored in: Oversize, Box 84, Folder 1613",
,,Accompanied by printed version of writing,
3,84-90,"Brown, Edmund R.",1916-1922
,,"See also:Four Seas Company, Box 6, Folder 214",
3,91,"Brown, Geoffrey",1962
,,Accompanied by writing,
3,92,"Brown, Paul","1932, 1936"
,,"1936 letter is gift of Paul Brown, 1970",
3,93,Brown University,1952-1959
3,,"Bruce Humphries, Inc.",
3,94,"Bullitt, William C. (William Christian)",1935-1950
3,95,"Bunting, Basil",1930-1938
3,96-99,"Burke, Kenneth","1925-1962, undated"
,,"Accompanied by writings; regards The Dial, request to New Jersey legislator, and Manuscript Editions manuscript request",
3,100,"Burke, Lib","1955-1960, undated"
3,101,"Bynner, Witter",1949-1960
3,102-103,"""C"" general","1930-1962, undated"
3,104,"Caetani, Marguerite",undated
,,Includes note on prescription pad,
3,105,"Calas, Nicolas","1940-1945, undated"
3,106,"Caldwell, Erskine",1932
3,107,"Campo, Cristina","1958-1962, undated"
,,Accompanied by writing; includes letters to John Thirlwall from Campo,
3,108,"Cannell, Skipworth",1940
3,109,"Carlin, Lydia","1951-1960, undated"
,,Accompanied by photographs of Carlin's infant girl,
3,110,"Carnevali, Emanuel","1932, undated"
3,111,"Carroll, Donald",1960-1961
,,Accompanied by writing,
3,112,"Carter, Thomas Henry",1950
3,113,"Carton, Robert Wells",1942
,,"Gift of Robert Wells Carton, September 1988",
,,"Carver, Raymond",
,,"See: Selection, Box 21, Folder 669",
3,114,"Cary, Carl",1959
4,115,"Center for Advanced Study in the Behavioral Sciences (Stanford, Calif.)",1957
4,116,"Chapin, Katherine Garrison (also Katherine Garrison Biddle)",1952-1954
4,117,"Char, René",1956-1960
4,118,"Chareau, Dollie",1943
4,119,"Chase, Dean",1959
,,Accompanied by writing,
4,120,Chicago Review Press,1957-1958
4,121,"Chigounis, Evans","1958-1961, undated"
4,122,"Ciardi, John",1950-1958
4,123,"Ciardi, John","1949-1950, 1958 undated"
,,"Accompanied by writing, ""Introductory Note""",
,,"Purchased on the the Eugene O'Neill Fund, June 2003",
,,City Lights Pocket Bookshop,
,,"See:Ferlinghetti, Lawrence, Box 6, Folder 203",
4,124,City University of New York. City College,undated
4,125,"Clark, Herbert C. (Herbert Colbert)",1948-1951
4,126,"Cole, Thomas",1948-1962
,,Accompanied by writing,
4,127,College of Music Society,1961
4,128,College of William and Mary,1954
,,"See also:Jackson, Jess H., Box 9, Folder 319",
4,129,The Colorado Review ,1956-1957
4,130,"Columbia Broadcasting System, inc.",1951
4,131,Columbia Pictures Corporation,1953
4,132,Columbia University,1940-1963
4,133,"Combs, Tram",1956-1959
,,Accompanied by writing and clipping,
4,134,Committee for Cultural Freedom,1939
4,135,Common Sense,undated
4,136,Contact ,"1932, 1958-1960"
,,Accompanied by copy of clipping on Contact,
,,Contempo ,
,,"See:Abernethy, M. A. (Milton A.), Box 1, Folder 5",
4,137,Contemporary Poetry (Firm),1946-1951
4,138,"Cookson, William",1960
4,139-140,"Corman, Cid",1950-1955
,,Accompanied by writings,
4,141,Cornell University,1956-1960
4,142,Coronet Magazine ,1957
4,143,"Corson, Edward",1940-1959
4,144,"Cowley, Malcolm",1924-1957
,,Accompanied by writing,
4,145-146,"Creeley, Robert",1950-1962
,,Accompanied by writing,
4,147,"Cressman, William",1958-1960
4,147a,"Cummings, E. E. (Edward Estlin)",1939-1959
4,148-149,Cummington Press,1943-1950
,,Accompanied by printed material,
4,150,"Cunard, Nancy","1931-1932, undated"
,,Accompanied by printed material,
5,151,"""D"" general","1937-1960, undated"
5,152,"D'Orge, Jeanne",1955
5,153,"Dahlberg, Edward",1940-1958
,,Accompanied by printed material,
5,154,"Dahlberg, Edward",1943
,,"Gift of William Eric Williams, October 1996",
5,155,The Daily Times Herald,1950
5,156,Dartmouth College,1939
5,157,"Davenport, Guy",1958-1961
5,158,"Davies, Dorothy",1959
5,159,"Dawson, Fielding",undated
5,160,"de Hellebranth, Elena","1949-1957, undated"
,,Accompanied by clipping and printed material,
5,161,"de Heyman, Frank",1957-1958
5,162,"de Marsico, Florence",1942
5,163,December ,1958
5,164,Decision ,"1941, undated"
5,165,"Deutsch, Babette",1939-1962
,,Accompanied by writing,
5,166,"Di Giovanni, Norman Thomas",1955-1958
5,167,The Dial ,"1924-1960, undated"
,,"See also:Moore, Marianne, Box 15, Folder 468",
5,168,"Dickey, James",undated
5,169,Dickinson College,1956
5,170,"Dillon, George",1940-1941
5,171,"Dixon, Bill",1941-1951
5,172,"Donoghue, Denis",1956-1960
5,173,H. D. (Hilda Doolittle),"1907-1909, 1916"
5,174,"Dorfman, Elsa",undated
5,175,"Dosser, Nelia",1957-1957
,,Accompanied by writing,
5,176,"Doubleday and Company, inc.",1960
5,177,"Downtown Gallery (New York, N.Y.)",1932-1954
,,The Dragon Press,
,,"See:Flores, Angel, Box 6, Folder 207",
5,178,"Drake, William, Jr.",1960
,,Accompanied by writing,
5,179,"Drew, Fraser Bragg",1950
,,Accompanied by writing,
5,180,"Dudek, Louis",1950-1958
,,"Duell, Sloan and Pearce, Inc",
,,"See:Pearce, Charles, Box 18, Folder 564",
5,181,"Duner, Michael",1942-1956
5,182,"Dunstan, Nerèe",undated
5,183,"Dutton, E. P.",1941
5,184,Dynamo,1936
5,185,"""E"" general","1951-1960, undated"
5,186,"Earle, Eyvind",1960
5,187,"Eaton, Charles Edward",1956-1959
5,188,"Eberhart, Richard",1940-1962
,,Accompanied by writing and Williams's advice on writing,
5,189,Editions ,1947
5,190,Editions d'Art Lucien Mazenod,1950
6,191,"Ehrenburg, Ilya",1950 April 27
6,192-193,"Emerson, Richard W.",1948-1952
,,"Accompanied by photographs, clippings and writing",
,,"Second folder purchased on the Sinclair Lewis Fund, December 1988",
6,194,"Emmerich, André",1957-1959
6,195,"Empringham, Douglas R.","1956, undated"
,,Accompanied by writing,
6,196,"Eshleman, Clayton",1959-1960
,,Accompanied by writing,
6,197,The Evening Bulletin,1939
6,198,"""F"" general",1930-1963
,,Includes photograph of Linda Scott and Sue Fitzgerald,
6,199,Facet ,1950
6,200,Fairleigh Dickinson University,1957-1959
,,"See also:Hays, H. R. (Hoffman Reynolds), Box 8, Folder 271",
6,201,"Faulkner, William",1956-1957
6,202,"Fenwick, Betty",1950
,,"Ferdinand, Earle",1915 October 28
,,"Stored in: Oversize, Box 84, Folder 1614",
6,203,"Ferlinghetti, Lawrence","1955-1962, undated"
,,Accompanied by writing; regards Kora in Hell and seizure of Howl; includes excerpt of letter from Ferlinghetti to Random House regarding compensation to Williams,
6,204,"Festival Foundation, Inc.",1959
6,205,"Fjelde, Rolf","1946-1950, undated"
,,Accompanied by writing,
6,206,"Flack, M.",1947-1952
,,Accompanied by printed material,
6,207,"Flores, Angel",1931-1932
6,208,Focus ,1947
6,209,The Folio ,1954-1959
6,210,"Ford, Charles Henri","1942-1955, undated"
,,"Portion of the letters donated by Henri Ford, January 1952",
6,211,"Ford, Ford Madox","1932-1939, undated"
,,Regards Society of the Friends of William Carlos Williams,
6,212,Ford Foundation,1959
6,213,"Foster, Harvey N.","1932, undated"
,,Accompanied by writing,
6,214,Four Seas Company,1921-1956
,,"Accompanied by clipping, portrait photograph of Williams, and printed material; includes letter from The Dial",
,,"See also:Brown, Edmund R., Box 3, Folders 84-90",
6,215-216,"Francis, Thomas Edward","1960-1961, undated"
,,"Includes notes on poems; accompanied by ""The American Idiom"" and other writings",
,,"Second folder is gift of Farleigh Dickinson University Library, March 2000",
6,217,"Frankenberger, Loren and Lloyd",1949-1959
6,218,Freedom House Bookshelf Committee,1960
6,219,"Friar, Kimon",1947-1958
6,220,"Fuller, Robert H.","1951, undated"
6,221,Furioso ,"1939, undated"
6,222,"""G"" general","1916-1961, undated"
6,223,G. P. Putnam's Sons,1942
6,224,Gale,1949
6,225,"Garrigue, Jean",1957-1961
6,226,"Garvin, Harry Raphael","1958-1960, undated"
6,227,General Magazines,1928
7,228,"Ghiselin, Brewster",1947-1956
7,229,Gibbs and Cox,1956 June 15
,,Regards reference for John Coffey,
7,230-231,"Ginsberg, Allen","1949-1962, undated"
,,"Accompanied by writings (December 9 1955 letter includes early typescript drafts of ""Howl,"" ""Strange New Cottage in Berkeley,"" ""A Supermarket in California,"" and ""Sunflower Sutra;"" March 1956 letter includes later draft of ""Howl""), printed material and photograph of Gil Orlovsky and Ginsberg; includes letter from Ginsberg to Pound and clipping on Louis Ginsberg",
7,232,"Ginsberg, Louis","1931-1952, undated"
7,233,"Ginsburg, B. M.",1947
7,234,Globe ,1938
7,235,"Godden, William",1957-1958
,,Accompanied by writing,
7,236,"Gold, Mike",undated
7,237,"Goldberg, Mimi",1955-1960
,,Accompanied by writiing,
7,238,"Golightly, Bonnie",1946-1950
7,239-240,"Goll, Ivan","1940-1952, undated"
,,"Accompanied by writing, clipping and printed material; includes letter from Jean sans Terre to Williams",
7,241,Gotham Book Mart,1942-1943
7,242,"Gotham House, Inc.",1939
7,243,"Gould, Joe",1925-1949
7,244,"Grady, James",1952
,,Accompanied by writing,
7,245,"Gratwick, Harriet","1949-1962, undated"
,,Accompanied by writing and printed material,
7,246,The Grecourt Review ,1957
7,247,"Gregory, Horace","1931-1948, undated"
7,248,"Grove Press, Inc.",1960
7,249,"Grundy, J. Owen",1942
7,250,"Guenther, Charles",1955-1957
7,251,John Simon Guggenheim Memorial Foundation,1933
7,252,"Gugler, Eric",1947
7,253,"Gulesian, Frances","1951, undated"
7,254,"""H"" general","1932-1961, undated"
7,,H. D.,
,,"H. D. (Hilda Doolittle), Box 5, Folder 173",
7,255,"Hagglund, Ben C.",1936
7,256,The Haitian Art Center,1950
7,257,"Hallmark Cards, Inc.",1959
7,258,"Hanna, Charles",1960
7,259,"Hanson, Kenneth",1961
,,Accompanied by writing,
7,260,Harcourt Brace & Company,1941
,,"See also:Pearce, Charles, Box 18, Folder 564",
,,"Gift of Julian Sanford, October 1996",
7,261,Harper's Bazaar ,1941-1950
7,262,Harper's Magazine ,1948
7,263,Harriss & Givens,1941-1942
7,264,"Harris, Ted",undated
,,Includes letter from Williams to Julius Rudel regarding Ted Harris,
7,265,"Hart, Lawrence",1951
7,266,"Hartley, Marsden",1932-1941
,,Accompanied by Galerie Briant-Robert exhibition pamphlet,
7,267,"Hartman, Ralph D.","1941, undated"
,,Accompanied by photograph of Hartman,
7,268,Harvard Medical School,1958
8,269,Harvard University,1940-1961
8,270,Haverford College. Library,1951
8,271,"Hays, H. R. (Hoffman Reynolds)","1943-1960, undated"
8,272,"Heal, Edith","1950, 1956-1957"
,,"Gift of Edith Heal Berrien, 1960, 1964",
8,273,"Hecht, Roger",1955
,,Accompanied by writing,
8,273a,"Hedley, Leslie Woolf","1952, 1956"
8,274,"Heiby, Walter A.",1942
,,Accompanied by writing,
8,275,"Heilman, Robert",1948-1962
8,276,"Helget, Sophia",1957
,,Accompanied by photographs and writing,
8,277,"Herbst, Josephine","1950-1961, undated"
8,278,"Herman, Paul","1916, 1958"
,,Includes telegram announcing birth of William Eric Williams,
8,279,"Herrmann, Ruth",1942-1943
8,280,"Higgins, Jim","1939-1958, undated"
,,Accompanied by writing and clipping,
8,281,"Hiler, Hilaire",1930-1956
8,282,"Hoffman, Everett",undated
8,283,Holiday ,1954
8,284,"Holmes, John",1950-1957
,,Accompanied by writing,
8,285,"Hoormann, John",1925
8,286,The Hopkins Review ,1950
8,287,"Horace Mann School (New York, N.Y.)",1956-1959
8,288,Horizon ,1959
8,289,Hospitalized Veterans Writing Project,1960
8,290,Houghton Mifflin Company,1942
8,291,The Hound & Horn Inc.,1932
8,292,"Howard, Curtis",1957-1958
,,Accompanied by writing,
8,293,"Howe, Henrietta",undated
,,Accompanied by writing,
8,294,"Howe, Marvine","1951, undated"
8,295,"Hubbard, Alice Philena (Sister Felicia)",1941-1958
8,296,"Hudson, Flexmore",1947
8,297,"Huff, Robert",1959-1960
8,298,The Hudson Review ,1956-1961
,,"See also:Morgan, Frederick, Box 15, Folder 471a",
8,299,"Bruce Humphries, Inc.",1932-1933
,,"Bruce Humphries, Inc., Box 3",
8,300,"Hunt, Bert","1956-1957, undated"
8,301,"Hunts, Naomi",1956-1960
,,Accompanied by writing,
8,302,Hunter College,1940
8,303,"Husband, John","1922-1951, undated"
,,Accompanied by writing,
8,304,"Hutchinson, Ray",1941-1942
,,Accompanied by writing and photograph of Hutchinson,
8,305,"Hutchinson, Robert",1956
,,Accompanied by writing,
8,306-307,"Ignatow, David",1950-1960
,,"Second folder is gift of Harvey Shapiro, June 2003",
8,308,Inaugural Committee (U.S.: 1961),1961 February 3
8,309,"Ingerslev, K.",1940
8,310,Insert ,1958
8,311,Interim ,"1950, undated"
8,312,International House,"1958, undated"
8,313,Institute of Contemporary Arts,1958-1949
8,314,Intro Bulletin ,1957
8,315,Iowa State Teachers College,1959
8,316,"Isaksson, Folke","1958, undated"
9,317,"""J"" general",1939-1961
9,318,J. B. Lippincott & Co.,1941
9,319,"Jackson, Jess H.",1955
9,320,"Jacoby Jr., Grover",1947-1950
,,"See also: Variegation, Box 24, Folders 758-759",
9,321,The James Joyce Review ,1957-1958
9,322,Jamestown College,1958
,,"Accompanied by writing and ""Bulletin of Jamestown College""",
9,323,Janus,1950
,,"See also:Ford, Ford Madox, Box 6, Folder 211",
,,Jargon,
,,"See:Williams, Jonathan, Box 25, Folders 808-809",
9,324,"Jarrell, Randall",undated
,,Accompanied by printed material,
9,325,"Jennings, Ned",undated
,,Accompanied by photographs of Jennings' paintings,
9,326,"The Jewish Braille Institute of America, Inc.",1957
9,327,"Jobes, Gertrude",1948
,,Accompanied by writing,
9,328,"Joffe, Eugene",1932
9,329,Johns Hopkins University,1958
9,330,"Johns, Richard","1932-1939, undated"
9,331,"Johnson, Ronald",undated
,,Accompanied by writing,
9,332,"Jonas, Stephen",undated
9,333,"Jones, Frank",1951
9,334,"Jones, Leroi (Baraka, Imamu Amiri)","1959, undated"
9,335,"Jones, Llewellyn",1958
,,"Accompanied by printed version of ""Transformations of the Beautiful"" by Hans Ruin",
9,336,"Jones, Margo",1949
9,337,"Jordan, Viola Baxter","1939-1957, undated"
,,"Gift of Viola Baxter Jordan, July 1957",
9,338,"Josephson, Matthew",1925-1930
9,339,"Judd, Chas",1931
9,340,"Jurilli, Arcangelo",1960
,,Accompanied by writing,
9,341,"""K"" general",1939-1964
9,342,"Kamin, Martin","1931-1932, undated"
9,343,"Kenner, Hugh",1955-1960
,,Accompanied by writing,
9,344,The Kenyon Review ,"1939-1956, undated"
9,345,"Keppel, Charles","1939-1946, undated"
,,Accompanied by clippings and review on Great Short Poems in the English Language by Keppel,
9,346,"Kerouac, Jack",1955
9,347,"Kinnell, Galway",1952-1959
,,Accompanied by writing and clipping,
9,348,"Alfred A. Knopf, Inc.",1943-1955
9,349,"Koch, Vivienne","1938-1950, undated"
,,Accompanied by printed version of review of The Complete Collected Poems of William Carlos Williams by Elias Lieberman,
9,350,"Koehler, Stanley",1955-1962
,,Accompanied by writing,
9,351,"Kramer, Miriam",1941-1949
,,Accompanied by writing,
9,352,"""L"" general","1939-1930, undated"
9,353,Ladies' Home Journal ,"1959, undated"
9,354,"Langton, Daniel","1956-1958, undated"
,,Accompanied by writing,
9,355,"Larsson, R. E. F.","1936-1951, undated"
,,Accompanied by writing and drawings,
10,356-360,"Laughlin, James","1938-1962, undated"
,,Accompanied by printed material,
10,361,"From Williams to James Laughlin, photocopies",1938-1961
,,"Gift of James Laughlin, December 1986",
10,362,"From Williams to James Laughlin and Robert MacGregor, photocopies",1939-1962
,,"Gift of James McLaughlin, February 1986",
11,363-381,"From Williams to James Laughlin, photocopies",1934-1962
,,"Gift of Laughlin,1972 and 1979 (copies made at Yale's request). Originals are with New Directions records.",
12,382,"Layton, Irving",1956-1960
12,383,"League of American Writers, Inc.",1941-1942
12,384,"Leckie, Robert H.",1943-1960
12,385,The Left ,1932
12,386,"Leippert, James George","1932, undated"
12,387,"Lenberg, Lore",1955
12,388,"Leslie, Alfred",1959
12,389-390,"Levertov, Denise","1955-1962, undated"
,,Accompanied by writing; regard Levertov and Williams's poems,
12,391,"Levy, Beryl Harold",1951
12,392,"LeWinter, Oswald","1955-1958, undated"
12,393-394,"Lewis, H. H.","1936-1947, undated"
,,"Includes letter from the Partisan Review to Lewis with Lewis's handwritten notes; and letter from New Masses to Lewis with Partisan Review Letter to Editor, ""Sanctions Against Williams,"" clipping attached, with Lewis's handwritten notes; and letter from Florence Williams to Lewis.",
12,395,"Lewis, W. S. (Wilmarth Sheldon)",1917-1918
,,"Gift of Mrs. D.V. Garstin, undated",
12,396,Library of Congress,1940-1958
,,Accompanied by clipping regarding Williams's position as Poet Laureate,
12,397,"Lieber, Maxim",1933
12,398,"Little, Brown and Company",1932
12,399,"Living Theatre (New York, N. Y.)",1948-1961
,,Regards Many Loves,
13,400,"Lloyd, Norman",1949-1950
13,401,"Locher, Robert Evans",1954
13,402,"Logan, John",1960
,,Regards the Poetry Seminar,
,,"Lotterle, Adell",
,,"See:Rutherford High School, Box 21, Folder 649",
13,403,"Lougée, David",1959
,,Accompanied by writing,
13,404,"Lowell, Robert","1955-1961, undated"
13,405,"Lowenfels, Walter",undated
13,406-410,"Lyle, David",1947-1951
,,"Accompanied by clipping on skating in Paterson; includes a folder of letters reworked for Paterson by Williams and a postcard of Passaic River, Paterson, NJ",
,,"Last folder is gift of David Lyle, February 1969",
13,411-412,"""M"" general",1923-1960
13,413,"MacDonald, Dwight","1939-1942, undated"
13,414,"MacGregor, Robert",1956-1960
,,Includes letter from Williams to MacGregor about Paterson,
13,415,"MacLeish, Archibald","1949-1961, undated"
13,416,"Macleod, Joseph Todd Gordon","1949, undated"
,,Accompanied by clipping about Adam Drinan and Joseph Macleod,
13,417-418,"Macleod, Norman","1932-1958, undated"
,,"Accompanied by photograph of the Macleods, writing, and advertisement for Macleod's You Get What You Ask For",
13,419,"Mac Low, Jackson",1946
